brand_key,brand_name,classification,country_of_origin,notes,confirmed,suggested_by,first_seen_run,updated_at
charmis,Charmis,Local,,,false,seed:local,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
chemistatplay,Chemist At Play,Local,,,false,seed:local,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
colorbar,Colorbar,Local,,,false,seed:local,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
coloressence,Coloressence,Local,,,false,seed:local,2026-09-09T2105Z,2026-09-10T10:05:05+00:00
consciouschemist,Conscious Chemist,Local,,,false,seed:local,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
dabur,Dabur,Local,,,false,seed:local,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
deconstruct,Deconstruct,Local,,,false,seed:local,2026-09-09T2044Z,2026-09-09T20:44:39+00:00
dermafique,Dermafique,Local,,,false,seed:local,2026-09-09T2105Z,2026-09-10T10:05:05+00:00
dotkey,Dot & Key,Local,,,false,seed:local,2026-09-09T2044Z,2026-09-09T20:44:39+00:00
drsheths,Dr. Sheth's,Local,,,false,seed:local,2026-09-09T2044Z,2026-09-09T20:44:39+00:00
earthrhythm,Earth Rhythm,Local,,,false,seed:local,2026-09-09T2044Z,2026-09-09T20:44:39+00:00
elle18,Elle 18,Local,,,false,seed:local,2026-09-09T2044Z,2026-09-09T20:44:39+00:00
facescanada,Faces Canada,Local,,,false,seed:local,2026-09-09T2044Z,2026-09-09T20:44:39+00:00
fixderma,Fixderma,Local,,,false,seed:local,2026-09-09T2044Z,2026-09-09T20:44:39+00:00
forestessentials,Forest Essentials,Local,,,false,seed:local,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
foxtale,Foxtale,Local,,,false,seed:local,2026-09-09T2044Z,2026-09-09T20:44:39+00:00
glowlovely,Glow & Lovely,Local,,,false,seed:local,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
hyphen,Hyphen,Local,,,false,seed:local,2026-09-09T2044Z,2026-09-09T20:44:39+00:00
insightcosmetics,Insight Cosmetics,Local,,,false,seed:local,2026-09-09T2044Z,2026-09-09T20:44:39+00:00
jovees,Jovees,Local,,,false,seed:local,2026-09-09T2105Z,2026-09-10T10:05:05+00:00
joveesherbal,Jovees Herbal,Local,,,false,seed:local,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
joy,Joy,Local,,,false,seed:local,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
justherbs,Just Herbs,Local,,,false,seed:local,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
kamaayurveda,Kama Ayurveda,Local,,,false,seed:local,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
khadiessentials,Khadi Essentials,Local,,,false,seed:local,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
khadinatural,Khadi Natural,Local,,,false,seed:local,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
khadiomorose,Khadi Omorose,Local,,,false,seed:local,2026-09-09T2105Z,2026-09-10T10:05:05+00:00
kimirica,Kimirica,Local,,,false,seed:local,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
lakme,Lakme,Local,,,false,seed:local,2026-09-09T2044Z,2026-09-09T20:44:39+00:00
lakme9to5,Lakme 9To5,Local,,,false,seed:local,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
lakmeabsolute,Lakme Absolute,Local,,,false,seed:local,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
lakmeblushglow,Lakme Blush & Glow,Local,,,false,seed:local,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
lotusherbals,Lotus Herbals,Local,,,false,seed:local,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
lotusmakeup,Lotus Make-up,Local,,,false,seed:local,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
lovechildmasaba,LoveChild Masaba,Local,,,false,seed:local,2026-09-09T2044Z,2026-09-09T20:44:39+00:00
mamaearth,Mamaearth,Local,,,false,seed:local,2026-09-09T2044Z,2026-09-09T20:44:39+00:00
mantra,Mantra,Local,,,false,seed:local,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
mars,Mars,Local,,,false,seed:local,2026-09-09T2105Z,2026-09-10T10:05:05+00:00
marscosmetics,MARS Cosmetics,Local,,,false,seed:local,2026-09-09T2044Z,2026-09-09T20:44:39+00:00
mcaffeine,MCaffeine,Local,,,false,seed:local,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
medimix,Medimix,Local,,,false,seed:local,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
minimalist,Minimalist,Local,,,false,seed:local,2026-09-09T2044Z,2026-09-09T20:44:39+00:00
nourishmantra,Nourish Mantra,Local,,,false,seed:local,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
o3,O3+,Local,,,false,seed:local,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
organixmantra,Organix Mantra,Local,,,false,seed:local,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
parachuteadvansed,Parachute Advansed,Local,,,false,seed:local,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
patanjali,Patanjali,Local,,,false,seed:local,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
pilgrim,Pilgrim,Local,,,false,seed:local,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
plum,Plum,Local,,,false,seed:local,2026-09-09T2044Z,2026-09-09T20:44:39+00:00
reequil,Re' Equil,Local,,,false,seed:local,2026-09-09T2044Z,2026-09-09T20:44:39+00:00
renee,RENEE,Local,,,false,seed:local,2026-09-09T2044Z,2026-09-09T20:44:39+00:00
sanfe,Sanfe,Local,,,false,seed:local,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
shahnazhusain,Shahnaz Husain,Local,,,false,seed:local,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
soulflower,Soulflower,Local,,,false,seed:local,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
spinz,Spinz,Local,,,false,seed:local,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
sugar,Sugar,Local,,,false,seed:local,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
sugarpop,Sugar Pop,Local,,,false,seed:local,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
sunscoop,SunScoop,Local,,,false,seed:local,2026-09-09T2044Z,2026-09-09T20:44:39+00:00
swissbeauty,Swiss Beauty,Local,,,false,seed:local,2026-09-09T2044Z,2026-09-09T20:44:39+00:00
thedermaco,The Derma Co,Local,,,false,seed:local,2026-09-09T2044Z,2026-09-09T20:44:39+00:00
themomsco,The Moms Co.,Local,,,false,seed:local,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
typsybeauty,Typsy Beauty,Local,,,false,seed:local,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
urbanyog,Urban Yog,Local,,,false,seed:local,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
ustraa,Ustraa,Local,,,false,seed:local,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
vicco,Vicco,Local,,,false,seed:local,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
vilvahstore,Vilvah Store,Local,,,false,seed:local,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
vlcc,VLCC,Local,,,false,seed:local,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
wowskinscience,Wow Skin Science,Local,,,false,seed:local,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
yardley,Yardley,Local,,,false,seed:local,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
4mation,4Mation,Unclassified,,,false,none,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
52sundaze,52 Sundaze,Unclassified,,,false,none,2026-09-09T2044Z,2026-09-09T20:44:39+00:00
7pureskin,7Pure Skin,Unclassified,,,false,none,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
9skin,9SKIN,Unclassified,,,false,none,2026-09-09T2105Z,2026-09-10T10:05:05+00:00
aprofessionalrange,A+ Professional Range,Unclassified,,,false,none,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
aalphul,Aalphul,Unclassified,,,false,none,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
abeers,Abeers,Unclassified,,,false,none,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
